timestamp,co_m,eth_m,voc_m,no2,c2h50h_gm,voc_gm,co_gm
1765190206904,21.26,26.813,8.027,0.678,0.648,0.115,0.039
1765190207240,21.26,26.813,8.027,0.678,0.648,0.115,0.039
1765190207414,21.26,26.813,8.027,0.678,0.648,0.115,0.04
1765190207713,21.26,26.813,8.027,0.679,0.649,0.115,0.039
1765190207874,21.26,26.813,8.027,0.678,0.649,0.115,0.04
1765190208182,21.26,26.813,8.027,0.678,0.649,0.115,0.04
1765190208732,21.26,26.813,8.027,0.679,0.648,0.115,0.04
1765190208881,22.36,28.641,8.499,0.682,0.649,0.116,0.04
1765190209670,21.808,27.721,8.262,0.685,0.649,0.116,0.04
1765190209961,22.36,28.641,8.499,0.689,0.648,0.117,0.04
1765190210416,24.033,31.476,9.224,0.697,0.648,0.118,0.041
1765190210807,23.472,30.519,8.98,0.704,0.648,0.12,0.041
1765190211179,24.597,32.446,9.47,0.709,0.648,0.121,0.041
1765190211477,25.165,33.428,9.718,0.714,0.648,0.123,0.041
1765190211619,25.735,34.423,9.968,0.719,0.648,0.124,0.041
1765190212127,25.735,34.423,9.968,0.722,0.649,0.125,0.042
1765190212873,26.309,35.429,10.22,0.726,0.648,0.127,0.042
1765190213135,26.885,36.448,10.474,0.731,0.648,0.129,0.042
1765190213140,27.465,37.479,10.73,0.734,0.649,0.13,0.042
1765190213802,26.885,36.448,10.474,0.735,0.649,0.131,0.042
1765190214377,27.465,37.479,10.73,0.738,0.648,0.133,0.043
1765190214476,28.633,39.577,11.249,0.741,0.649,0.135,0.043
1765190215124,27.465,37.479,10.73,0.742,0.649,0.135,0.043
1765190215371,28.048,38.522,10.989,0.743,0.648,0.137,0.043
1765190215887,28.048,38.522,10.989,0.744,0.648,0.138,0.043
1765190216661,28.048,38.522,10.989,0.745,0.649,0.138,0.043
1765190217323,29.222,40.645,11.512,0.747,0.648,0.14,0.044
1765190217664,30.409,42.817,12.043,0.748,0.648,0.143,0.043
1765190217969,29.222,40.645,11.512,0.749,0.648,0.144,0.044
1765190218341,28.048,38.522,10.989,0.749,0.648,0.144,0.044
1765190218451,28.633,39.577,11.249,0.75,0.648,0.145,0.043
1765190218936,28.048,38.522,10.989,0.75,0.648,0.145,0.044
1765190219371,29.222,40.645,11.512,0.751,0.648,0.146,0.044
1765190219932,28.633,39.577,11.249,0.751,0.648,0.147,0.044
1765190220408,28.633,39.577,11.249,0.751,0.648,0.148,0.044
1765190220900,29.222,40.645,11.512,0.751,0.649,0.149,0.044
1765190221250,29.222,40.645,11.512,0.751,0.648,0.149,0.044
1765190221724,28.633,39.577,11.249,0.752,0.648,0.15,0.044
1765190221834,29.222,40.645,11.512,0.751,0.648,0.151,0.044
1765190222383,28.048,38.522,10.989,0.752,0.649,0.151,0.044
1765190222554,28.633,39.577,11.249,0.753,0.648,0.151,0.044
1765190223143,28.048,38.522,10.989,0.752,0.649,0.152,0.044
1765190223521,28.633,39.577,11.249,0.752,0.648,0.152,0.044
1765190224083,29.814,41.725,11.776,0.753,0.648,0.153,0.044
1765190224442,28.633,39.577,11.249,0.753,0.649,0.153,0.044
1765190224589,29.814,41.725,11.776,0.753,0.648,0.154,0.044
1765190224746,28.048,38.522,10.989,0.753,0.648,0.154,0.044
1765190225308,28.048,38.522,10.989,0.753,0.649,0.154,0.044
1765190225575,28.048,38.522,10.989,0.753,0.649,0.155,0.044
1765190226037,28.048,38.522,10.989,0.753,0.648,0.155,0.044
1765190226323,28.048,38.522,10.989,0.753,0.648,0.155,0.044
1765190226494,28.633,39.577,11.249,0.753,0.649,0.156,0.044
1765190226494,28.048,38.522,10.989,0.753,0.648,0.156,0.044
1765190227265,28.048,38.522,10.989,0.753,0.649,0.156,0.044
1765190227411,28.048,38.522,10.989,0.753,0.649,0.156,0.044
1765190227731,28.633,39.577,11.249,0.753,0.648,0.156,0.044
1765190228493,27.465,37.479,10.73,0.753,0.649,0.157,0.044
1765190228966,29.814,41.725,11.776,0.753,0.649,0.157,0.044
1765190228966,28.048,38.522,10.989,0.753,0.649,0.157,0.044
1765190229307,27.465,37.479,10.73,0.753,0.648,0.158,0.044
1765190229712,26.885,36.448,10.474,0.751,0.648,0.157,0.044
1765190230157,28.048,38.522,10.989,0.752,0.649,0.157,0.044
1765190230280,27.465,37.479,10.73,0.751,0.648,0.158,0.044
1765190230536,28.048,38.522,10.989,0.751,0.649,0.158,0.044
1765190231184,27.465,37.479,10.73,0.751,0.649,0.158,0.044
1765190231594,28.048,38.522,10.989,0.751,0.649,0.158,0.044
1765190231856,27.465,37.479,10.73,0.751,0.648,0.158,0.044
1765190232232,28.048,38.522,10.989,0.751,0.649,0.158,0.044
1765190232417,28.048,38.522,10.989,0.751,0.649,0.159,0.044
1765190232884,27.465,37.479,10.73,0.751,0.648,0.159,0.044
1765190233411,27.465,37.479,10.73,0.751,0.648,0.159,0.044
1765190233609,28.048,38.522,10.989,0.751,0.648,0.159,0.044
1765190233800,27.465,37.479,10.73,0.75,0.648,0.159,0.044
1765190233972,26.885,36.448,10.474,0.751,0.649,0.159,0.044
1765190234410,27.465,37.479,10.73,0.751,0.649,0.159,0.043
1765190234683,27.465,37.479,10.73,0.751,0.648,0.16,0.045
1765190234819,26.885,36.448,10.474,0.75,0.649,0.16,0.044
1765190235434,27.465,37.479,10.73,0.751,0.649,0.16,0.044
1765190235714,27.465,37.479,10.73,0.751,0.649,0.16,0.044
